Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Door Configuration (product.metafields.custom.door_configuration),Google: Custom Product (product.metafields.mm-google-shopping.custom_product),Product rating count (product.metafields.reviews.rating_count),Color (product.metafields.shopify.color-pattern),Door application (product.metafields.shopify.door-application),Door glass finish (product.metafields.shopify.door-glass-finish),Door material (product.metafields.shopify.door-material),Door suitable location (product.metafields.shopify.door-suitable-location),Door surface finish (product.metafields.shopify.door-surface-finish),Style (product.metafields.shopify.style),Complementary products (product.metafields.shopify--discovery--product_recommendation.complementary_products),Related products (product.metafields.shopify--discovery--product_recommendation.related_products),Related products settings (product.metafields.shopify--discovery--product_recommendation.related_products_display),Search product boosts (product.metafields.shopify--discovery--product_search_boost.queries),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
m580e-white,Pre-Hung Wood Front Door | M580E | Double | BGW Doors,"<div class=""product-description"" style=""line-height: 1.7;"">
<!-- Description (standard Shopify paragraph size) -->
<p style=""font-size: 16px;"">Brighten your entry with this premium exterior door, designed as a classic exterior front door with crescent glass. Crafted as a mahogany wood entry door, it forms a front door with glass that illuminates your home while maintaining privacy and elegance.</p>
<p style=""font-size: 16px;"">Available as a single door or double door, this pre-hung exterior door supports easy installation and long-term performance. Its solid construction ensures a reliable front door for home improvements while offering visual appeal.</p>
<p style=""font-size: 16px;"">This premium exterior door combines style and durability. Whether chosen as a single door or double door, it enhances your entryway as a stunning exterior front door.</p>
<hr style=""margin: 24px 0;"">
<!-- Orientation Note -->
<p style=""font-size: 16px;""><strong>Door Orientation:</strong> Some products are designed for a specific hand—right or left. To determine the correct orientation, stand on the exterior side of your door and check which side the hinges are located. Hinges on the right indicate a right-handed door; hinges on the left indicate a left-handed door.</p>
<p style=""font-size: 16px;""><strong>This <strong>pre-hung exterior door</strong> is eligible for Flat Rate shipping at checkout.</strong></p>
<hr style=""margin: 24px 0;"">
<!-- Key Features -->
<h3 style=""font-size: 20px;""><strong>Key Features</strong></h3>
<ul style=""font-size: 16px;"">
<li>Mahogany solid wood engineering structural door (single door or double door)</li>
<li>Raised moulding</li>
<li>Triple-glazed glass for a stylish front door with glass</li>
<li>Black caming</li>
<li>Floating panels</li>
<li>Wood T-astragal finished to match</li>
<li>Included: jamb, casing, and molding for easy installation as a pre-hung exterior door</li>
</ul>
<hr style=""margin: 24px 0;"">
<!-- Dimensions -->
<h3 style=""font-size: 20px;""><strong>Total Dimensions</strong></h3>
<ul style=""font-size: 16px;"">
<li>37 1/4"" x 81"" x 5 1/4"" (custom single door, please call to order)</li>
<li>61 1/4"" x 81"" x 5 1/4""</li>
<li>65 1/4"" x 81"" x 5 1/4""</li>
<li>61 1/4"" x 97"" x 5 1/4""</li>
<li>73 1/4"" x 97"" x 5 1/4""</li>
</ul>
<p style=""font-size: 16px;"">Pre-hung doors ship ""knocked down"" to prevent damage and ease handling at delivery. All doors are machined, and a knocked-down pre-hung exterior door can be assembled in 10–15 minutes. <span>Please note, handles sold separately.</span></p>
<hr style=""margin: 24px 0;"">
<!-- Instruction Manual -->
<h3 style=""font-size: 18px;""><strong>Check The Instruction Manual: <a href=""https://cdn.shopify.com/s/files/1/0053/1202/0573/files/Double_Door_assembly_instructions.pdf?v=1678948108"" target=""_blank""> Click Here </a></strong></h3>
<p style=""font-size: 16px; margin-top: 16px;"">For custom sizes or questions, please reach out to <a href=""tel:9097891818"">(909) 789-1818</a> or <a href=""mailto:info@bgwdoors.com"">info@bgwdoors.com</a>.</p>
<hr style=""margin: 24px 0;"">
<!-- Back Link -->
<p style=""font-size: 16px;""><strong> Browse exterior wood doors: <a href=""https://bgwdoors.com/collections/wood-doors""> https://bgwdoors.com/collections/wood-doors </a> </strong></p>
</div>",BGW Doors,Home & Garden > Doors > Exterior Entry Doors > Wood Front Doors > Double Doors,Front Door,"30x80x2, 30x96x2, 32x80x2, 36x80x2, 36x96x2, BGW Doors, entry door, exterior door, pre-hung, wood",true,Size,"61 1/4"" x 81"" x 5 1/4""",,Inswing (Door Opens Into the House),Righthand,,Color,White,,M580EW30X30X80RH,0.0,shopify,0,deny,manual,5170.00,5400.00,true,true,,,,,,https://cdn.shopify.com/s/files/1/0053/1202/0573/files/bgw-m580e-white-double-front-door-front-view.webp?v=1783374986,1,"White double front entry door with crescent glass panels and classic design, straight-on view",false,Pre-Hung Wood Front Door | M580E | Double | BGW Doors,"M580E exterior door made of solid mahogany with crescent triple-glass, raised moulding, white finish, prehung for easy installation & durable. Double door configuration. Includes pre-hung frame, hinges, and threshold. Nationwide freight shipping in 5 to 8 business days. Professional installation available in Los Angele",4634,,,M580E,new,,wood,high,hero,pre-hung-double,in-stock,Double Door,,,white,external,,wood,front,,,,,,,,lb,,,active
m580e-white,Pre-Hung Wood Front Door | M580E | Single | BGW Doors,,,Home & Garden > Doors > Exterior Entry Doors > Wood Front Doors,Front Door,"BGW Doors, entry door, exterior door, pre-hung, wood",,,"61 1/4"" x 81"" x 5 1/4""",,,Lefthand,,,White,,M580EW30X30X80LH,0.0,shopify,0,deny,manual,5170.00,5170.00,true,true,,,,,,https://cdn.shopify.com/s/files/1/0053/1202/0573/files/bgw-m580e-white-double-front-door-house-view.webp?v=1783374986,2,White double front entry door installed on home exterior with crescent glass panels and traditional styling,,Pre-Hung Wood Front Door | M580E | Single | BGW Doors,"Factory-direct pre-hung wood exterior entry door from BGW Doors. Includes pre-hung frame, hinges, and threshold. Nationwide freight shipping in 5 to 8 business days. Professional installation available in Los Angeles and Ontario, California. Over 30 years in business. Premium in-stock warehouse inventory.",4634,,,M580E,new,,wood,high,hero,pre-hung,in-stock,,,,,,,,,,,,,,,,lb,,,
m580e-white,Pre-Hung Wood Front Door | M580E | Single | BGW Doors,,,Home & Garden > Doors > Exterior Entry Doors > Wood Front Doors,Front Door,"BGW Doors, entry door, exterior door, pre-hung, wood",,,"65 1/4"" x 81"" x 5 1/4""",,,Righthand,,,White,,M580EW32X32X80RH,0.0,shopify,0,deny,manual,5400.00,5400.00,true,true,,,,,,https://cdn.shopify.com/s/files/1/0053/1202/0573/files/bgw-m580e-white-crescent-glass-detail-3.webp?v=1783374986,3,Detailed close-up of crescent-shaped glass panels on white front door highlighting design and texture,,Pre-Hung Wood Front Door | M580E | Single | BGW Doors,"Factory-direct pre-hung wood exterior entry door from BGW Doors. Includes pre-hung frame, hinges, and threshold. Nationwide freight shipping in 5 to 8 business days. Professional installation available in Los Angeles and Ontario, California. Over 30 years in business. Premium in-stock warehouse inventory.",4634,,,M580E,new,,wood,high,hero,pre-hung,in-stock,,,,,,,,,,,,,,,,lb,,,
m580e-white,Pre-Hung Wood Front Door | M580E | Single | BGW Doors,,,Home & Garden > Doors > Exterior Entry Doors > Wood Front Doors,Front Door,"BGW Doors, entry door, exterior door, pre-hung, wood",,,"65 1/4"" x 81"" x 5 1/4""",,,Lefthand,,,White,,M580EW32X32X80LH,0.0,shopify,0,deny,manual,5400.00,5400.00,true,true,,,,,,https://cdn.shopify.com/s/files/1/0053/1202/0573/files/bgw-m580e-white-crescent-glass-close-up.webp?v=1783374986,4,Close-up of crescent glass inserts on white entry door showing curved decorative detail,,Pre-Hung Wood Front Door | M580E | Single | BGW Doors,"Factory-direct pre-hung wood exterior entry door from BGW Doors. Includes pre-hung frame, hinges, and threshold. Nationwide freight shipping in 5 to 8 business days. Professional installation available in Los Angeles and Ontario, California. Over 30 years in business. Premium in-stock warehouse inventory.",4634,,,M580E,new,,wood,high,hero,pre-hung,in-stock,,,,,,,,,,,,,,,,lb,,,
m580e-white,Pre-Hung Wood Front Door | M580E | Single | BGW Doors,,,Home & Garden > Doors > Exterior Entry Doors > Wood Front Doors,Front Door,"BGW Doors, entry door, exterior door, pre-hung, wood",,,"73 1/4"" x 81"" x 5 14""",,,Righthand,,,White,,M580EW36X36X80RH,0.0,shopify,0,deny,manual,6230.00,6230.00,true,true,,,,,,https://cdn.shopify.com/s/files/1/0053/1202/0573/files/bgw-m580e-white-crescent-glass-detail-2.webp?v=1783374987,5,Detailed close-up of crescent-shaped glass panels on white entry door highlighting design and texture,,Pre-Hung Wood Front Door | M580E | Single | BGW Doors,"Factory-direct pre-hung wood exterior entry door from BGW Doors. Includes pre-hung frame, hinges, and threshold. Nationwide freight shipping in 5 to 8 business days. Professional installation available in Los Angeles and Ontario, California. Over 30 years in business. Premium in-stock warehouse inventory.",4634,,,M580E,new,,wood,high,hero,pre-hung,in-stock,,,,,,,,,,,,,,,,lb,,,
m580e-white,Pre-Hung Wood Front Door | M580E | Single | BGW Doors,,,Home & Garden > Doors > Exterior Entry Doors > Wood Front Doors,Front Door,"BGW Doors, entry door, exterior door, pre-hung, wood",,,"73 1/4"" x 81"" x 5 14""",,,Lefthand,,,White,,M580EW36X36X80LH,0.0,shopify,0,deny,manual,6230.00,6230.00,true,true,,,,,,,,,,Pre-Hung Wood Front Door | M580E | Single | BGW Doors,"Factory-direct pre-hung wood exterior entry door from BGW Doors. Includes pre-hung frame, hinges, and threshold. Nationwide freight shipping in 5 to 8 business days. Professional installation available in Los Angeles and Ontario, California. Over 30 years in business. Premium in-stock warehouse inventory.",4634,,,M580E,new,,wood,high,hero,pre-hung,in-stock,,,,,,,,,,,,,,,,lb,,,
m580e-white,Pre-Hung Wood Front Door | M580E | Single | BGW Doors,,,Home & Garden > Doors > Exterior Entry Doors > Wood Front Doors,Front Door,"BGW Doors, entry door, exterior door, pre-hung, wood",,,"61 1/4"" x 97"" x 5 1/4""",,,Righthand,,,White,,M580EW30X30X96RH,0.0,shopify,0,deny,manual,6459.00,6459.00,true,true,,,,,,,,,,Pre-Hung Wood Front Door | M580E | Single | BGW Doors,"Factory-direct pre-hung wood exterior entry door from BGW Doors. Includes pre-hung frame, hinges, and threshold. Nationwide freight shipping in 5 to 8 business days. Professional installation available in Los Angeles and Ontario, California. Over 30 years in business. Premium in-stock warehouse inventory.",4634,,,M580E,new,,wood,high,hero,pre-hung,in-stock,,,,,,,,,,,,,,,,lb,,,
m580e-white,Pre-Hung Wood Front Door | M580E | Single | BGW Doors,,,Home & Garden > Doors > Exterior Entry Doors > Wood Front Doors,Front Door,"BGW Doors, entry door, exterior door, pre-hung, wood",,,"61 1/4"" x 97"" x 5 1/4""",,,Lefthand,,,White,,M580EW30X30X96LH,0.0,shopify,0,deny,manual,6459.00,6459.00,true,true,,,,,,,,,,Pre-Hung Wood Front Door | M580E | Single | BGW Doors,"Factory-direct pre-hung wood exterior entry door from BGW Doors. Includes pre-hung frame, hinges, and threshold. Nationwide freight shipping in 5 to 8 business days. Professional installation available in Los Angeles and Ontario, California. Over 30 years in business. Premium in-stock warehouse inventory.",4634,,,M580E,new,,wood,high,hero,pre-hung,in-stock,,,,,,,,,,,,,,,,lb,,,
m580e-white,Pre-Hung Wood Front Door | M580E | Single | BGW Doors,,,Home & Garden > Doors > Exterior Entry Doors > Wood Front Doors,Front Door,"BGW Doors, entry door, exterior door, pre-hung, wood",,,"73 1/4"" x 97"" x 5 1/4""",,,Righthand,,,White,,M580EW36X36X96RH,0.0,shopify,0,deny,manual,7400.00,7400.00,true,true,,,,,,,,,,Pre-Hung Wood Front Door | M580E | Single | BGW Doors,"Factory-direct pre-hung wood exterior entry door from BGW Doors. Includes pre-hung frame, hinges, and threshold. Nationwide freight shipping in 5 to 8 business days. Professional installation available in Los Angeles and Ontario, California. Over 30 years in business. Premium in-stock warehouse inventory.",4634,,,M580E,new,,wood,high,hero,pre-hung,in-stock,,,,,,,,,,,,,,,,lb,,,
m580e-white,Pre-Hung Wood Front Door | M580E | Single | BGW Doors,,,Home & Garden > Doors > Exterior Entry Doors > Wood Front Doors,Front Door,"BGW Doors, entry door, exterior door, pre-hung, wood",,,"73 1/4"" x 97"" x 5 1/4""",,,Lefthand,,,White,,M580EW36X36X96LH,0.0,shopify,0,deny,manual,7400.00,7400.00,true,true,,,,,,,,,,Pre-Hung Wood Front Door | M580E | Single | BGW Doors,"Factory-direct pre-hung wood exterior entry door from BGW Doors. Includes pre-hung frame, hinges, and threshold. Nationwide freight shipping in 5 to 8 business days. Professional installation available in Los Angeles and Ontario, California. Over 30 years in business. Premium in-stock warehouse inventory.",4634,,,M580E,new,,wood,high,hero,pre-hung,in-stock,,,,,,,,,,,,,,,,lb,,,
